# x_m, y_m, w_tr_right_m, w_tr_left_m
-24.351039841813403, 99.46950592774826, 0.8124560390584067, 0.7476217532772511
-24.338000754141227, 99.40324692787904, 0.8124560390584067, 0.7476217532772511
-24.325237642792885, 99.336955416216, 0.8124560390584067, 0.7476217532772511
-24.312742420533095, 99.27063234350048, 0.8124560390584067, 0.7476217532772511
-24.30050700012655, 99.20427866047383, 0.8124560390584067, 0.7476217532772511
-24.288523294337992, 99.13789531787751, 0.8124560390584067, 0.7476217532772511
-24.276783215932106, 99.07148326645272, 0.8124560390584067, 0.7476217532772511
-24.265278677673585, 99.00504345694083, 0.8124560390584067, 0.7476217532772511
-24.254001592327178, 98.9385768400833, 0.8124560390584067, 0.7476217532772511
-24.242943872657573, 98.87208436662141, 0.8124560390584067, 0.7476217532772511
-24.232097431429455, 98.80556698729644, 0.8124560390584067, 0.7476217532772511
-24.221454181407577, 98.7390256528499, 0.8124560390584067, 0.7476217532772511
-24.211006035356622, 98.67246131402305, 0.8124560390584067, 0.7476217532772511
-24.200744906041294, 98.6058749215572, 0.8124560390584067, 0.7476217532772511
-24.190662706226316, 98.53926742619379, 0.8124560390584067, 0.7476217532772511
-24.180751348676388, 98.47263977867414, 0.8124560390584067, 0.7476217532772511
-24.17100274615622, 98.40599292973958, 0.8124560390584067, 0.7476217532772511
-24.161408811430526, 98.33932783013145, 0.8124560390584067, 0.7476217532772511
-24.15196145726401, 98.27264543059118, 0.8124560390584067, 0.7476217532772511
-24.142652596421385, 98.20594668186004, 0.8124560390584067, 0.7476217532772511
-24.133474141667353, 98.13923253467941, 0.8124560390584067, 0.7476217532772511
-24.124418005766625, 98.07250393979068, 0.8124560390584067, 0.7476217532772511
-24.11547610148391, 98.00576184793513, 0.8124560390584067, 0.7476217532772511
-24.10664034158392, 97.93900720985417, 0.8124560390584067, 0.7476217532772511
-24.097902638831357, 97.87224097628909, 0.8124560390584067, 0.7476217532772511
-24.089254905990938, 97.8054640979813, 0.8124560390584067, 0.7476217532772511
-24.080689055827367, 97.73867752567213, 0.8124560390584067, 0.7476217532772511
-24.072197001105344, 97.67188221010294, 0.8124560390584067, 0.7476217532772511
-24.063770654589593, 97.60507910201505, 0.8124560390584067, 0.7476217532772511
-24.055401929044812, 97.53826915214984, 0.8124560390584067, 0.7476217532772511
-24.047082737235726, 97.47145331124871, 0.8124560390584067, 0.7476217532772511
